Frequency,Magnitude,phase
1.00E+00,(-6.93514712229829e-05dB,-2.28959009779123e-01°)
1.02E+00,(-7.26198848765774e-05dB,-2.34292102472232e-01°)
1.05E+00,(-7.60423321353326e-05dB,-2.39749415436962e-01°)
1.07E+00,(-7.96260721978009e-05dB,-2.45333841890886e-01°)
1.10E+00,(-8.33787063517950e-05dB,-2.51048342425801e-01°)
1.12E+00,(-8.73081940973643e-05dB,-2.56895946575831e-01°)
1.15E+00,(-9.14228700356704e-05dB,-2.62879754421956e-01°)
1.17E+00,(-9.57314615392123e-05dB,-2.69002938233831e-01°)
1.20E+00,(-1.00243107275751e-04dB,-2.75268744149733e-01°)
1.23E+00,(-1.04967376556061e-04dB,-2.81680493895540e-01°)
1.26E+00,(-1.09914289657910e-04dB,-2.88241586543628e-01°)
1.29E+00,(-1.15094339056852e-04dB,-2.94955500312607e-01°)
1.32E+00,(-1.20518511702745e-04dB,-3.01825794408853e-01°)
1.35E+00,(-1.26198312280308e-04dB,-3.08856110910782e-01°)
1.38E+00,(-1.32145787643727e-04dB,-3.16050176696861e-01°)
1.41E+00,(-1.38373552331823e-04dB,-3.23411805418366e-01°)
1.45E+00,(-1.44894815353801e-04dB,-3.30944899517905e-01°)
1.48E+00,(-1.51723408160762e-04dB,-3.38653452294776e-01°)
1.51E+00,(-1.58873814002681e-04dB,-3.46541550018225e-01°)
1.55E+00,(-1.66361198623628e-04dB,-3.54613374089705e-01°)
1.58E+00,(-1.74201442437091e-04dB,-3.62873203255272e-01°)
1.62E+00,(-1.82411174178567e-04dB,-3.71325415869262e-01°)
1.66E+00,(-1.91007806182088e-04dB,-3.79974492210422e-01°)
1.70E+00,(-2.00009571287538e-04dB,-3.88825016851701e-01°)
1.74E+00,(-2.09435561524456e-04dB,-3.97881681084940e-01°)
1.78E+00,(-2.19305768538710e-04dB,-4.07149285401695e-01°)
1.82E+00,(-2.29641126052407e-04dB,-4.16632742031502e-01°)
1.86E+00,(-2.40463554188437e-04dB,-4.26337077538880e-01°)
1.91E+00,(-2.51796005968367e-04dB,-4.36267435480416e-01°)
1.95E+00,(-2.63662515979041e-04dB,-4.46429079123306e-01°)
2.00E+00,(-2.76088251310273e-04dB,-4.56827394226753e-01°)
2.04E+00,(-2.89099564928741e-04dB,-4.67467891887644e-01°)
2.09E+00,(-3.02724051534567e-04dB,-4.78356211451980e-01°)
2.14E+00,(-3.16990606050312e-04dB,-4.89498123493540e-01°)
2.19E+00,(-3.31929484896916e-04dB,-5.00899532861312e-01°)
2.24E+00,(-3.47572370108960e-04dB,-5.12566481797246e-01°)
2.29E+00,(-3.63952436493979e-04dB,-5.24505153125919e-01°)
2.34E+00,(-3.81104421960579e-04dB,-5.36721873517738e-01°)
2.40E+00,(-3.99064701151701e-04dB,-5.49223116827335e-01°)
2.45E+00,(-4.17871362518438e-04dB,-5.62015507508858e-01°)
2.51E+00,(-4.37564289065340e-04dB,-5.75105824109874e-01°)
2.57E+00,(-4.58185242868949e-04dB,-5.88501002845652e-01°)
2.63E+00,(-4.79777953575505e-04dB,-6.02208141255642e-01°)
2.69E+00,(-5.02388211088643e-04dB,-6.16234501943954e-01°)
2.75E+00,(-5.26063962595263e-04dB,-6.30587516405751e-01°)
2.82E+00,(-5.50855414143422e-04dB,-6.45274788941440e-01°)
2.88E+00,(-5.76815137046867e-04dB,-6.60304100660626e-01°)
2.95E+00,(-6.03998179274281e-04dB,-6.75683413577814e-01°)
3.02E+00,(-6.32462182042101e-04dB,-6.91420874801889e-01°)
3.09E+00,(-6.62267501974523e-04dB,-7.07524820821441e-01°)
3.16E+00,(-6.93477338943700e-04dB,-7.24003781888048e-01°)
3.24E+00,(-7.26157869929825e-04dB,-7.40866486499656e-01°)
3.31E+00,(-7.60378389214918e-04dB,-7.58121865986262e-01°)
3.39E+00,(-7.96211455149023e-04dB,-7.75779059200105e-01°)
3.47E+00,(-8.33733043799982e-04dB,-7.93847417312665e-01°)
3.55E+00,(-8.73022709873355e-04dB,-8.12336508720751e-01°)
3.63E+00,(-9.14163755156130e-04dB,-8.31256124064064e-01°)
3.72E+00,(-9.57243404891379e-04dB,-8.50616281356606e-01°)
3.80E+00,(-1.00235299249704e-03dB,-8.70427231234375e-01°)
3.89E+00,(-1.04958815284255e-03dB,-8.90699462321839e-01°)
3.98E+00,(-1.09904902477285e-03dB,-9.11443706719687e-01°)
4.07E+00,(-1.15084046300423e-03dB,-9.32670945616430e-01°)
4.17E+00,(-1.20507226006962e-03dB,-9.54392415026457e-01°)
4.27E+00,(-1.26185937866608e-03dB,-9.76619611657167e-01°)
4.37E+00,(-1.32132219486082e-03dB,-9.99364298907882e-01°)
4.47E+00,(-1.38358675285846e-03dB,-1.02263851300325e+00°)
4.57E+00,(-1.44878503154170e-03dB,-1.04645456926388e+00°)
4.68E+00,(-1.51705522371476e-03dB,-1.07082506851705e+00°)
4.79E+00,(-1.58854202832821e-03dB,-1.09576290365028e+00°)
4.90E+00,(-1.66339695644102e-03dB,-1.12128126631064e+00°)
5.01E+00,(-1.74177865162424e-03dB,-1.14739365375273e+00°)
5.13E+00,(-1.82385322526810e-03dB,-1.17411387583823e+00°)
5.25E+00,(-1.90979460771925e-03dB,-1.20145606219000e+00°)
5.37E+00,(-1.99978491583499e-03dB,-1.22943466950373e+00°)
5.50E+00,(-2.09401483777491e-03dB,-1.25806448902018e+00°)
5.62E+00,(-2.19268403585107e-03dB,-1.28736065416098e+00°)
5.75E+00,(-2.29600156823696e-03dB,-1.31733864833116e+00°)
5.89E+00,(-2.40418633043399e-03dB,-1.34801431289142e+00°)
6.03E+00,(-2.51746751742248e-03dB,-1.37940385530330e+00°)
6.17E+00,(-2.63608510743822e-03dB,-1.41152385745030e+00°)
6.31E+00,(-2.76029036841940e-03dB,-1.44439128413811e+00°)
6.46E+00,(-2.89034638811428e-03dB,-1.47802349177709e+00°)
6.61E+00,(-3.02652862901205e-03dB,-1.51243823725008e+00°)
6.76E+00,(-3.16912550922023e-03dB,-1.54765368696871e+00°)
6.92E+00,(-3.31843901049000e-03dB,-1.58368842612121e+00°)
7.08E+00,(-3.47478531462868e-03dB,-1.62056146811501e+00°)
7.24E+00,(-3.63849546968110e-03dB,-1.65829226421689e+00°)
7.41E+00,(-3.80991608716540e-03dB,-1.69690071339403e+00°)
7.59E+00,(-3.98941007188241e-03dB,-1.73640717235870e+00°)
7.76E+00,(-4.17735738572183e-03dB,-1.77683246581962e+00°)
7.94E+00,(-4.37415584714342e-03dB,-1.81819789694293e+00°)
8.13E+00,(-4.58022196782329e-03dB,-1.86052525802543e+00°)
8.32E+00,(-4.79599182833748e-03dB,-1.90383684138295e+00°)
8.51E+00,(-5.02192199455066e-03dB,-1.94815545045641e+00°)
8.71E+00,(-5.25849047667664e-03dB,-1.99350441113812e+00°)
8.91E+00,(-5.50619773286845e-03dB,-2.03990758332074e+00°)
9.12E+00,(-5.76556771948853e-03dB,-2.08738937267111e+00°)
9.33E+00,(-6.03714899008881e-03dB,-2.13597474263119e+00°)
9.55E+00,(-6.32151584540436e-03dB,-2.18568922664793e+00°)
9.77E+00,(-6.61926953663031e-03dB,-2.23655894063392e+00°)
1.00E+01,(-6.93103952447649e-03dB,-2.28861059566033e+00°)
1.02E+01,(-7.25748479643840e-03dB,-2.34187151088349e+00°)
1.05E+01,(-7.59929524501303e-03dB,-2.39636962670613e+00°)
1.07E+01,(-7.95719310958769e-03dB,-2.45213351817415e+00°)
1.10E+01,(-8.33193448487061e-03dB,-2.50919240860934e+00°)
1.12E+01,(-8.72431089886531e-03dB,-2.56757618347813e+00°)
1.15E+01,(-9.13515096353721e-03dB,-2.62731540449632e+00°)
1.17E+01,(-9.56532210144543e-03dB,-2.68844132396896e+00°)
1.20E+01,(-1.00157323516795e-02dB,-2.75098589936447e+00°)
1.23E+01,(-1.04873322587442e-02dB,-2.81498180812132e+00°)
1.26E+01,(-1.09811168479890e-02dB,-2.88046246268527e+00°)
1.29E+01,(-1.14981276915084e-02dB,-2.94746202577460e+00°)
1.32E+01,(-1.20394550684821e-02dB,-3.01601542586990e+00°)
1.35E+01,(-1.26062402241424e-02dB,-3.08615837292470e+00°)
1.38E+01,(-1.31996777317013e-02dB,-3.15792737429214e+00°)
1.41E+01,(-1.38210179617379e-02dB,-3.23135975086247e+00°)
1.45E+01,(-1.44715696638525e-02dB,-3.30649365340490e+00°)
1.48E+01,(-1.51527026652924e-02dB,-3.38336807910684e+00°)
1.51E+01,(-1.58658506918116e-02dB,-3.46202288830225e+00°)
1.55E+01,(-1.66125143159507e-02dB,-3.54249882138007e+00°)
1.58E+01,(-1.73942640381885e-02dB,-3.62483751586221e+00°)
1.62E+01,(-1.82127435067796e-02dB,-3.70908152363976e+00°)
1.66E+01,(-1.90696728820548e-02dB,-3.79527432835440e+00°)
1.70E+01,(-1.99668523513679e-02dB,-3.88346036291084e+00°)
1.74E+01,(-2.09061658010936e-02dB,-3.97368502710449e+00°)
1.78E+01,(-2.18895846521328e-02dB,-4.06599470534694e+00°)
1.82E+01,(-2.29191718658423e-02dB,-4.16043678447016e+00°)
1.86E+01,(-2.39970861274043e-02dB,-4.25705967158827e+00°)
1.91E+01,(-2.51255862139383e-02dB,-4.35591281199410e+00°)
1.95E+01,(-2.63070355548651e-02dB,-4.45704670706521e+00°)
2.00E+01,(-2.75439069923249e-02dB,-4.56051293215204e+00°)
2.04E+01,(-2.88387877497268e-02dB,-4.66636415441830e+00°)
2.09E+01,(-3.01943846166007e-02dB,-4.77465415060114e+00°)
2.14E+01,(-3.16135293583904e-02dB,-4.88543782465590e+00°)
2.19E+01,(-3.30991843599284e-02dB,-4.99877122524718e+00°)
2.24E+01,(-3.46544485115888e-02dB,-5.11471156304493e+00°)
2.29E+01,(-3.62825633474336e-02dB,-5.23331722778081e+00°)
2.34E+01,(-3.79869194448291e-02dB,-5.35464780501656e+00°)
2.40E+01,(-3.97710630952856e-02dB,-5.47876409257234e+00°)
2.45E+01,(-4.16387032564939e-02dB,-5.60572811655895e+00°)
2.51E+01,(-4.35937187956903e-02dB,-5.73560314695345e+00°)
2.57E+01,(-4.56401660348037e-02dB,-5.86845371265344e+00°)
2.63E+01,(-4.77822866078643e-02dB,-6.00434561594023e+00°)
2.69E+01,(-5.00245156414858e-02dB,-6.14334594627611e+00°)
2.75E+01,(-5.23714902692850e-02dB,-6.28552309335572e+00°)
2.82E+01,(-5.48280584911864e-02dB,-6.43094675932555e+00°)
2.88E+01,(-5.73992883888229e-02dB,-6.57968797007999e+00°)
