Time_s,Filtered_Signal
0,0
0.0001,1.838658776
0.0002,2.097852781
0.0003,1.127788705
0.0004,0.535804923
0.0005,0.9419782
0.0006,1.247291043
0.0007,0.373214918
0.0008,-1.017041307
0.0009,-1.280353604
0.001,-0.03946398
0.0011,1.18948235
0.0012,0.905530798
0.0013,-0.487612967
0.0014,-1.340901116
0.0015,-1.008422337
0.0016,-0.58176551
0.0017,-1.151165377
0.0018,-2.083109493
0.0019,-1.7792544
0.002,0.082176246
0.0021,1.924285516
0.0022,2.186044391
0.0023,1.217642874
0.0024,0.626411788
0.0025,1.032429471
0.0026,1.336689012
0.0027,0.460681282
0.0028,-0.932356909
0.0029,-1.199265412
0.003,0.037257621
0.0031,1.26111805
0.0032,0.971419009
0.0033,-0.428070108
0.0034,-1.288232439
0.0035,-0.963083069
0.0036,-0.54413348
0.0037,-1.12153803
0.0038,-2.061701731
0.0039,-1.766197271
0.004,0.08683602
0.0041,1.920585163
0.0042,2.174103884
0.0043,1.197662915
0.0044,0.598671009
0.0045,0.997280889
0.0046,1.294555779
0.0047,0.41205178
0.0048,-0.986934572
0.0049,-1.259189448
0.005,-0.027363833
0.0051,1.192488378
0.0052,0.899503309
0.0053,-0.502524163
0.0054,-1.36445938
0.0055,-1.040307415
0.0056,-0.621577552
0.0057,-1.198429702
0.0058,-2.137282053
0.0059,-1.83972788
0.006,0.016065761
0.0061,1.853251377
0.0062,2.110841803
0.0063,1.139060968
0.0064,0.54526544
0.0065,0.949550945
0.0066,1.252919512
0.0067,0.376862499
0.0068,-1.015391168
0.0069,-1.280697438
0.007,-0.041778527
0.0071,1.185239709
0.0072,0.899421428
0.0073,-0.495509753
0.0074,-1.350489024
0.0075,-1.019589218
0.0076,-0.594384634
0.0077,-1.165096836
0.0078,-2.098201724
0.0079,-1.795345808
0.008,0.065255582
0.0081,1.90671207
0.0082,2.167999372
0.0083,1.199310375
0.0084,0.607976929
0.0085,1.014076547
0.0086,1.318599671
0.0087,0.443032743
0.0088,-0.949393571
0.0089,-1.215526911
0.009,0.021925242
0.0091,1.24685798
0.0092,0.95836235
0.0093,-0.439805523
0.0094,-1.298543085
0.0095,-0.971880614
0.0096,-0.551345517
0.0097,-1.127108632
0.0098,-2.065591851
0.0099,-1.768384953
0.01,0.086355586
0.0101,1.921799765
0.0102,2.176984581
0.0103,1.20216449
0.0104,0.604732581
0.0105,1.00482667
0.0106,1.303495983
0.0107,0.422283649
0.0108,-0.975525614
0.0109,-1.246728538
0.011,-0.013985324
0.0111,1.206642347
0.0112,0.914284306
0.0113,-0.487269328
0.0114,-1.348887083
0.0115,-1.024575633
0.0116,-0.605844276
0.0117,-1.182851364
0.0118,-2.12201199
0.0119,-1.824914837
0.012,0.030279061
0.0121,1.866729595
0.0122,2.123458254
0.0123,1.150698796
0.0124,0.555818681
0.0125,0.958925471
0.0126,1.261033851
0.0127,0.383648519
0.0128,-1.009987716
0.0129,-1.276716517
0.013,-0.039245561
0.0131,1.186313945
0.0132,0.899040768
0.0133,-0.497327047
0.0134,-1.353710591
0.0135,-1.024169056
0.0136,-0.600263696
0.0137,-1.172203746
0.0138,-2.106453608
0.0139,-1.804649235
0.014,0.055003569
0.0141,1.895622834
0.0142,2.156191491
0.0143,1.186908392
0.0144,0.595110055
0.0145,1.000877329
0.0146,1.30520264
0.0147,0.429573059
0.0148,-0.96278147
0.0149,-1.228710638
0.015,0.009074727
0.0151,1.234465118
0.0152,0.946545797
0.0153,-0.450934023
0.0154,-1.30887974
0.0155,-0.981330538
0.0156,-0.559823582
0.0157,-1.134540222
