time,V(out_ipf),I(Lo+)-I(Lo-),I(Rf+)-I(Rf-),V(outp)-V(outn)
0,0,0,0,0
1.00E-16,3.58E-37,0,3.49E-10,0
2.00E-16,1.43E-36,0,6.98E-10,2.38E-07
4.00E-16,1.17E-35,0,1.40E-09,4.77E-07
8.00E-16,1.53E-34,0,2.68E-09,7.15E-07
1.60E-15,2.33E-33,0,5.47E-09,1.67E-06
3.20E-15,3.70E-32,0,1.11E-08,3.34E-06
6.40E-15,5.93E-31,0,2.21E-08,6.68E-06
1.28E-14,9.57E-30,0,4.42E-08,1.34E-05
2.56E-14,1.56E-28,0,8.85E-08,2.65E-05
5.12E-14,2.59E-27,0,1.77E-07,5.32E-05
1.02E-13,4.47E-26,0,3.54E-07,0.000106
2.05E-13,8.25E-25,0,7.08E-07,0.000212
4.10E-13,1.72E-23,0,1.42E-06,0.000425
8.19E-13,4.40E-22,0,2.83E-06,0.000845
1.64E-12,1.48E-20,0,5.66E-06,0.00164
3.28E-12,5.93E-19,0,1.13E-05,0.00306
6.39E-12,8.05E-18,0,2.21E-05,0.0053
9.73E-12,8.46E-17,0,3.36E-05,0.00712
1.53E-11,8.38E-16,0,5.27E-05,0.00903
2.17E-11,6.25E-15,0,7.48E-05,0.0098
3.09E-11,4.06E-14,0,0.000106,0.00868
4.09E-11,1.71E-13,0,0.000139,0.00499
5.09E-11,5.38E-13,0,0.000172,-0.00141
6.09E-11,1.42E-12,0,0.000204,-0.0108
7.09E-11,3.25E-12,0,0.000235,-0.0241
8.09E-11,6.63E-12,0,0.000265,-0.0423
9.00E-11,1.11E-11,0,0.000291,-0.0631
9.00E-11,1.11E-11,0,0.000291,-0.0633
9.01E-11,1.12E-11,0,0.000292,-0.0636
9.03E-11,1.13E-11,0,0.000292,-0.0641
9.07E-11,1.16E-11,0,0.000293,-0.0653
9.14E-11,1.21E-11,0,0.000295,-0.0677
9.30E-11,1.33E-11,0,0.0003,-0.0728
9.60E-11,1.60E-11,0,0.000308,-0.0827
1.00E-10,1.98E-11,0,0.000319,-0.0938
1.00E-10,2.02E-11,0,0.00032,-0.0941
1.01E-10,2.11E-11,0,0.000322,-0.0947
